"Entity","Code","World.Region.according.to.the.World.Bank","Combined.total.net.enrolment.rate..primary..both.sexes","Total.net.enrolment.rate..primary..gender.parity.index..GPI.","Learning.Adjusted.Years.of.School","Harmonized.Test.Scores","GDP.per.capita..PPP..constant.2017.international..."
"Afghanistan","AFG","South Asia",90.3769548951049,0.997059034482759,5.0528383,354.7588,1968.341
"Albania","ALB","Europe and Central Asia",94.52966,1.0412,8.953018,434.1276,13278.435
"Algeria","DZA","Middle East and North Africa",97.63517,0.99203,7.0915527,374.08908,10844.7705
"Angola","AGO","Sub-Saharan Africa",90.3769548951049,0.997059034482759,4.2349777,325.96548,6029.692
"Antigua and Barbuda","ATG","Latin America and Caribbean",95.69547,1.01382,8.444422,406.99744,19062.412
"Argentina","ARG","Latin America and Caribbean",99.184,0.99119,8.41131,408.17264,19694.56
"Armenia","ARM","Europe and Central Asia",90.72273,1.00074,7.994621,442.96945,13357.697
"Australia","AUS","East Asia and Pacific",96.38096,0.99922,11.222505,515.68536,48651.734
"Austria","AUT","Europe and Central Asia",88.61718,0.9991,10.906205,507.63937,51854.75
"Azerbaijan","AZE","Europe and Central Asia",92.42467,1.02973,8.281513,415.9462,13726.77
"Bahrain","BHR","Middle East and North Africa",96.71489,0.99013,9.286839,451.706,47994.414
"Bangladesh","BGD","South Asia",90.3769548951049,0.997059034482759,5.989421,368.31528,5591.3735
"Belarus","BLR","Europe and Central Asia",94.92861,0.98437,10.784273,488.1431,19239.553
"Belgium","BEL","Europe and Central Asia",98.76482,1.00373,11.183289,516.80786,49030.992
"Benin","BEN","Sub-Saharan Africa",97.21103,0.93645,5.6664166,383.92285,3186.486
"Bhutan","BTN","South Asia",88.02597,1.03007,6.3267903,386.7394,11176.29
"Bosnia and Herzegovina","BIH","Europe and Central Asia",90.3769548951049,0.997059034482759,7.801883,416.13406,14587.57
"Botswana","BWA","Sub-Saharan Africa",90.3769548951049,0.997059034482759,5.0830455,391.3183,13545.048
"Brazil","BRA","Latin America and Caribbean",96.29925,0.997059034482759,7.8728395,413.24475,14109.764
"Brunei","BRN","East Asia and Pacific",93.14673,1.01122,9.218924,437.51593,61603.55
"Bulgaria","BGR","Europe and Central Asia",86.4454,1.00202,8.687309,441.09332,22466.918
"Burkina Faso","BFA","Sub-Saharan Africa",78.64517,0.98579,4.5330615,403.65433,2089.5679
"Burundi","BDI","Sub-Saharan Africa",92.8047,1.0352,5.1646743,422.7478,711.3553
"Cambodia","KHM","East Asia and Pacific",90.26554,0.99958,6.8439803,451.8896,4276.1846
"Cameroon","CMR","Sub-Saharan Africa",92.87395,0.90915,5.2868743,378.86884,3665.5105
"Canada","CAN","North America",99.8825,0.99566,11.724046,533.998,46193.176
"Central African Republic","CAF","Sub-Saharan Africa",90.3769548951049,0.997059034482759,2.6961548,368.73016,847.765
"Chad","TCD","Sub-Saharan Africa",73.15289,0.78555,2.830429,333.11133,1489.1868
"Chile","CHL","Latin America and Caribbean",94.74067,0.99332,9.40743,452.21823,22970.55
"China","CHN","East Asia and Pacific",90.3769548951049,0.997059034482759,9.270027,441,16296.609
"Colombia","COL","Latin America and Caribbean",92.91999,1.00993,8.622162,419.02753,13358.298
"Comoros","COM","Sub-Saharan Africa",80.75383,0.99957,5.12939,392.22552,3222.374
"Congo","COG","Sub-Saharan Africa",90.3769548951049,0.997059034482759,5.2851167,370.61407,3748.9326
"Costa Rica","CRI","Latin America and Caribbean",97.33255,0.99734,8.993311,428.5557,19778.387
"Cote d'Ivoire","CIV","Sub-Saharan Africa",90.32837,0.93131,4.811591,373.23053,5092.1636
"Croatia","HRV","Europe and Central Asia",88.0407,1.03257,10.446162,487.58124,27002.2
"Cyprus","CYP","Europe and Central Asia",97.49342,0.99522,10.91709,502.16217,39871.87
"Czechia","CZE","Europe and Central Asia",89.3503,1.00807,11.116524,512.2216,38639.98
"Democratic Republic of Congo","COD","Sub-Saharan Africa",90.3769548951049,0.997059034482759,4.5322757,310.19714,1044.0712
"Denmark","DNK","Europe and Central Asia",98.53748,1.00735,11.098828,517.8778,55275.062
"Dominica","DMA","Latin America and Caribbean",95.42178,1.00958,8.008872,403.78323,10255.859
"Dominican Republic","DOM","Latin America and Caribbean",92.71356,1.00885,6.558533,345.21652,16768.426
"East Timor","TLS","East Asia and Pacific",92.30953,1.03959,6.292721,371.44125,4861.6934
"Ecuador","ECU","Latin America and Caribbean",90.94167,1.02636,8.69649,420.14856,10356.975
"Egypt","EGY","Middle East and North Africa",97.03257,1.01432,6.5293627,355.9865,11989.6
"El Salvador","SLV","Latin America and Caribbean",80.99537,1.00903,7.6372886,435.92276,8294.537
"Estonia","EST","Europe and Central Asia",93.68129,1.00261,11.719313,543.20605,35883.266
"Eswatini","SWZ","Sub-Saharan Africa",82.52357,0.97912,4.5254297,440.3045,8290.409
"Ethiopia","ETH","Sub-Saharan Africa",84.62346,0.92895,4.3491125,348.19904,2253.2358
"Fiji","FJI","East Asia and Pacific",96.76212,0.97116,6.951136,383.33597,10961.847
"Finland","FIN","Europe and Central Asia",98.62944,1.00334,11.738752,533.70764,47371.22
"France","FRA","Europe and Central Asia",98.92727,1.00083,11.2687235,510.2606,42344.945
"Gabon","GAB","Sub-Saharan Africa",90.3769548951049,0.997059034482759,6.024927,456.1277,13903.289
"Gambia","GMB","Sub-Saharan Africa",76.81635,1.11584,5.3754196,352.89963,2042.6202
"Georgia","GEO","Europe and Central Asia",96.43624,1.0121,8.273992,399.7663,13966.326
"Germany","DEU","Europe and Central Asia",90.14286,1.01354,11.03309,517.28143,51780.027
"Ghana","GHA","Sub-Saharan Africa",86.15823,1.008,5.9587283,307.2758,5263.5264
"Greece","GRC","Europe and Central Asia",98.22037,1.00393,9.964251,468.63623,27009.207
"Grenada","GRD","Latin America and Caribbean",95.86628,1.0151,8.273588,394.74915,13175.521
"Guatemala","GTM","Latin America and Caribbean",86.88631,1.00584,6.29769,405.25757,8389.106
"Guinea","GIN","Sub-Saharan Africa",76.01588,0.82653,4.56822,408.24908,2604.1172
"Guyana","GUY","Latin America and Caribbean",90.3769548951049,0.997059034482759,6.7632494,346.3659,18430.602
"Haiti","HTI","Latin America and Caribbean",90.3769548951049,0.997059034482759,6.1498604,337.8153,2970.463
"Honduras","HND","Latin America and Caribbean",80.09489,0.96553,6.133804,399.7508,5028.145
"Hong Kong","HKG","East Asia and Pacific",95.45476,1.05249,11.886783,548.6314,55892.11
"Hungary","HUN","Europe and Central Asia",90.83399,0.998,10.271568,495.48123,31232.102
"Iceland","ISL","Europe and Central Asia",99.83367,0.99879,10.718311,497.68277,51684.402
"India","IND","South Asia",90.3769548951049,0.997059034482759,7.1021705,399,6172.0425
"Indonesia","IDN","East Asia and Pacific",93.4963,0.95246,7.8277683,394.9151,11515.681
"Iran","IRN","Middle East and North Africa",99.70291,0.9953,8.192462,432.10822,14432.362
"Iraq","IRQ","Middle East and North Africa",90.3769548951049,0.997059034482759,4.0308604,363.4325,8848.118
"Ireland","IRL","Europe and Central Asia",95.78041,0.99996,11.594797,521.32855,91791.44
"Israel","ISR","Middle East and North Africa",97.01884,1.00611,10.586509,480.7522,39680.664
"Italy","ITA","Europe and Central Asia",95.65574,0.99661,10.451879,492.98782,39093.523
"Jamaica","JAM","Latin America and Caribbean",81.0188,1.0007,7.057986,387.133,9206.292
"Japan","JPN","East Asia and Pacific",90.3769548951049,0.997059034482759,11.735149,537.72345,40044.508
"Jordan","JOR","Middle East and North Africa",80.8644,0.98423,7.6661263,429.95407,9231.036
"Kazakhstan","KAZ","Europe and Central Asia",86.85584,1.01827,9.127437,416.15463,25361.508
"Kenya","KEN","Sub-Saharan Africa",90.3769548951049,0.997059034482759,8.469239,454.9584,4497.363
"Kiribati","KIR","East Asia and Pacific",94.69278,1.08325,7.381945,411.4845,1897.0619
"Kosovo","OWID_KOS","Europe and Central Asia",90.3769548951049,0.997059034482759,7.8708215,373.54877,10706.511
